date_start,circuit,country,session_type
2024-09-14T12:00:00.000Z,Baku,Azerbaijan,Qualifying
2024-09-15T11:00:00.000Z,Baku,Azerbaijan,Race
2024-09-21T13:00:00.000Z,Marina Bay,Singapore,Qualifying
2024-09-22T12:00:00.000Z,Marina Bay,Singapore,Race
2024-10-18T21:30:00.000Z,Austin,United States,Sprint Shootout
2024-10-19T18:00:00.000Z,Austin,United States,Sprint
2024-10-19T22:00:00.000Z,Austin,United States,Qualifying
2024-10-20T19:00:00.000Z,Austin,United States,Race
2024-10-26T21:00:00.000Z,Mexico City,Mexico,Qualifying
2024-10-27T20:00:00.000Z,Mexico City,Mexico,Race
2024-11-01T18:30:00.000Z,Interlagos,Brazil,Sprint Shootout
2024-11-02T14:00:00.000Z,Interlagos,Brazil,Sprint
2024-11-02T18:00:00.000Z,Interlagos,Brazil,Qualifying
2024-11-03T17:00:00.000Z,Interlagos,Brazil,Race
2024-11-23T06:00:00.000Z,Las Vegas,United States,Qualifying
2024-11-24T06:00:00.000Z,Las Vegas,United States,Race
2024-11-29T17:30:00.000Z,Lusail,Qatar,Sprint Shootout
2024-11-30T13:00:00.000Z,Lusail,Qatar,Sprint
2024-11-30T17:00:00.000Z,Lusail,Qatar,Qualifying
2024-12-01T16:00:00.000Z,Lusail,Qatar,Race
2024-12-07T14:00:00.000Z,Abu Dhabi,United Arab Emirates,Qualifying
2024-12-08T13:00:00.000Z,Abu Dhabi,United Arab Emirates,Race




